trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-111.76335776172508,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,1,-161.37285539571917,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 2}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,4,-23.913681515723475,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-85.56891428355061,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-81.35196236897256,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-106.14828814790988,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,9,-0.5892596101402898,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-85.11680845274418,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-107.18585651495553,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-48.69195118961059,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-85.16688141165704,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-173.77848970646045,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-152.53100298822832,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-91.78621153175041,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,13,-0.7937013318263004,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,13,-71.57077340464983,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-126.31775041386693,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-148.5508549192977,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",35,0,-263.42504656085816,"{0: 18, 1: 4, 2: 8, 3: 1, 4: 4}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-179.26358994944505,"{0: 10, 1: 4, 2: 7, 3: 3, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-112.81691981341667,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-101.96384056089724,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-89.63854713744738,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",25,0,-110.08074845712792,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-85.918792572619,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-111.2194835954995,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,13,3.61088675311459,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-140.83405309090153,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-106.89787439522598,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-104.36946932135176,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,7,-96.29608999636409,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 2}",1
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-154.05638207787197,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-147.80192622970605,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,7,-14.21467082492614,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-100.29238598241066,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",35,0,-122.58889693182287,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-130.33914797294946,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-139.38522251799708,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-146.1910602121064,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
