trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.5759689253397,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,6,-68.42230118727893,"{0: 6, 1: 2, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.63654533167137,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.59858742760164,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.79195616078724,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-220.9216253480469,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.25421230299872,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.9325643439995,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-127.98530136913273,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.8705388031605,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.96012838596583,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.85066211629936,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,4,-119.3341533303477,"{0: 18, 1: 2, 2: 9, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.58947658506804,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.10751326519937,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.57540988854922,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.07265904218363,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.5028364534819,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.6530862119828,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.96335485560675,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.16018342846013,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,10,-42.32105046831919,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.84887515994734,"{0: 14, 1: 5, 2: 1, 3: 4, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-159.95295860257562,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.99284425259755,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-147.64037733947822,"{0: 21, 1: 4, 2: 7, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.42108828953686,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-221.03810223000772,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.49052888638727,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.65577550502155,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
